Category: All categories

Country,Santería: (2/3/20 - 2/3/21)
Cuba,100
Venezuela,49
Panama,46
Puerto Rico,32
Mexico,25
Uruguay,15
Colombia,10
Argentina,9
Dominican Republic,8
Paraguay,8
Spain,7
Ecuador,7
Chile,6
Trinidad & Tobago,5
Costa Rica,5
Peru,5
Guatemala,4
Honduras,4
Bolivia,4
El Salvador,4
United States,3
Nicaragua,2
St. Helena,1
Italy,1
Jamaica,1
Lithuania,1
Canada,1
Slovakia,1
Ireland,1
Portugal,1
Philippines,1
Sweden,1
Nigeria,1
New Zealand,1
Israel,1
Kenya,1
Denmark,1
Brazil,1
Hungary,<1
Czechia,<1
United Kingdom,<1
Austria,<1
Netherlands,<1
Switzerland,<1
France,<1
Bulgaria,<1
Germany,<1
Belgium,<1
Finland,<1
Australia,<1
Norway,<1
Greece,<1
Poland,<1
Croatia,<1
South Africa,<1
Slovenia,<1
Russia,<1
Singapore,<1
Morocco,<1
Ukraine,<1
Indonesia,<1
Vietnam,<1
Hong Kong,<1
United Arab Emirates,<1
South Korea,<1
Thailand,<1
Egypt,<1
India,<1
Malaysia,<1
Iran,<1
Romania,<1
Turkey,<1
Japan,<1
Aruba,
Curaçao,
French Guiana,
Belize,
Lesotho,
Andorra,
Barbados,
Suriname,
Martinique,
Malta,
North Macedonia,
Oman,
Zimbabwe,
Uganda,
China,
Luxembourg,
Tunisia,
Cambodia,
Kyrgyzstan,
Syria,
Latvia,
Lebanon,
Azerbaijan,
Uzbekistan,
Kazakhstan,
Algeria,
Belarus,
Pakistan,
Bangladesh,
Taiwan,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Bermuda,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guam,
Guyana,
Heard & McDonald Islands,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iraq,
Iceland,
Jersey,
Jordan,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Macao,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Mali,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Niue,
Nepal,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Palestine,
French Polynesia,
Qatar,
Réunion,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
